Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,league
上本　崇司,Carp,800,内野手,6,170,71,A型,右,両,広島,1990-08-22,0,0.125,37,10,8,1,0,0,4,1,0,1,1,0,0.222,0.125,0.347,1.6,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
田中　広輔,Carp,14e3,内野手,5,171,85,A型,右,左,神奈川,1989-07-03,2,0.258,110,529,445,115,9,49,19,62,14,98,5,4,0.365,0.393,0.758,5.28,5.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
小窪　哲也,Carp,3300,内野手,11,175,83,O型,右,右,奈良,1985-04-12,4,0.333,3,4,3,1,0,1,0,1,0,1,0,0,0.5,0.333,0.833,8.95,7.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
安部　友裕,Carp,4600,内野手,11,181,81,O型,右,左,福岡,1989-06-24,6,0.228,63,218,193,44,4,20,6,16,2,52,7,1,0.294,0.363,0.657,3.79,3.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
堂林　翔太,Carp,1500,内野手,9,183,88,A型,右,右,愛知,1991-08-17,7,0.227,45,51,44,10,0,5,0,2,0,12,5,1,0.261,0.341,0.602,2.22,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
丸　佳浩,Carp,21e3,外野手,11,177,90,AB型,右,左,千葉,1989-04-11,9,0.322,92,410,311,100,29,72,8,96,2,90,0,5,0.483,0.666,1.149,11.43,11.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
岩本　貴裕,Carp,1600,外野手,10,182,96,A型,左,左,広島,1986-04-18,10,0.143,10,8,7,1,0,0,0,1,0,2,0,1,0.25,0.143,0.393,-0.5,-0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
福井　優也,Carp,3100,投手,8,178,85,A型,右,右,岡山,1988-02-08,11,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,0,3,0,0,0,67,15,18,5,5,0,13,14,14,1.53,6.72,C
九里　亜蓮,Carp,3800,投手,5,187,92,A型,右,右,鳥取,1991-09-01,12,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.78,7,3,0,0,0.7,395,90.1,105,11,27,3,64,48,48,1.46,4.25,C
加藤　拓也,Carp,1450,投手,2,176,90,O型,右,右,東京,1994-12-31,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
